FINANCIAL TYPE,SYMBOL,SECURITY NAME,ISIN,PRICE,QUANTITY,REALISED P/L,MARKET VALUE,SEDOL
Equities,FANG,Diamondback Energy,,130.62,100577.3694105444,-88815.93860120032,13137415.99240531,
Equities,AOS,A. O. Smith,,72.18,352400.6934768778,178965.15898458462,25436282.055161044,
Equities,ADM,ADM,,75.16,31818.874732978376,35094.69246379058,2391506.6249306547,
Equities,TMO,Thermo Fisher Scientific,,521.75,242169.01854766367,66137.37422389293,126351685.42724352,
Equities,CHRW,C.H. Robinson,,94.35,257631.7556925891,12434.88756306526,24307556.14959578,
Equities,CHD,Church & Dwight,,99.95,90270.28725657704,-14369.879858681066,9022515.211294876,
Equities,JBHT,J.B. Hunt,,180.66,55411.12104806099,15930.697301317672,10010573.128542695,
Equities,SO,Southern Company,,69.53,49397.216983492704,1584.8315053857732,3434588.4968622476,
Equities,FAST,Fastenal,,58.64,310199.4812524431,28662.60185729621,18190097.580643263,
Equities,STT,State Street Corporation,,73.18,34025.55933209325,-7487.483297358049,2489990.4319225843,
Equities,FCX,Freeport-McMoRan,,39.85,284369.7475917614,309371.18935972615,11332134.441531692,
Equities,STZ,Constellation Brands,,245.32,236545.28260522924,46611.80313572673,58029288.72871483,
Equities,NSC,Norfolk Southern Railway,,225.43,338888.91773770587,-152829.33662016757,76395728.72561103,
Equities,ALL,Allstate,,109.04,43085.79462641183,-10762.358826512904,4698075.046063947,
Equities,SJM,J.M. Smucker Company (The),,146.58,158014.4656116793,24823.897153132355,23161760.369359955,
Equities,EVRG,Evergy,,57.79,42468.53174588429,-1550.7672916267215,2454256.449594653,
Equities,MSFT,Microsoft,,339.82,181848.1813001816,-242115.02314500135,61795648.96942771,
Equities,AXP,American Express,,173.6,142924.74368692396,94965.0848420957,24811735.50405,
Equities,SYK,Stryker Corporation,,305.09,291611.0505074139,184625.8642625521,88967615.39930691,
Equities,VICI,Vici Properties,,31.43,203627.8973760635,-33526.91722430093,6400024.814529676,
Equities,ARE,Alexandria Real Estate Equities,,113.49,314920.7571204311,47297.55682902526,35740356.725597724,
Equities,DD,DuPont,,71.11,125488.93963582696,-40787.6379497469,8923518.497503655,
Equities,AMT,American Tower,,193.94,278975.7638995741,15479.890046891524,54104559.6506834,
Equities,HON,Honeywell,,206.37,161896.9404146217,-205147.52369497123,33410671.59336548,
Equities,RCL,Royal Caribbean Group,,103.74,126623.2054769529,207938.10757234177,13135891.336179094,
Equities,APH,Amphenol,,84.95,309289.8942680258,-658104.3749655953,26274176.51806879,
Equities,PHM,PulteGroup,,77.68,11758.19350108619,23328.309055992027,913376.4711643754,
Equities,ETN,Eaton Corporation,,200.3,363131.2831962326,188466.42317126092,72735196.02420539,
