,fund_name,eom_date,financial_type,identifier,reported_price,master_price_filled,price_difference
0,Applebead,2022-08-31,Equities,ACGL,45.72,45.72,0.0
1,Applebead,2022-08-31,Equities,ACGL,45.72,45.72,0.0
2,Applebead,2022-08-31,Equities,ANSS,248.3,248.3,0.0
3,Applebead,2022-08-31,Equities,ANSS,248.3,248.3,0.0
4,Applebead,2022-08-31,Equities,ARE,147.71,147.71,0.0
5,Applebead,2022-08-31,Equities,ARE,147.71,147.71,0.0
6,Applebead,2022-08-31,Equities,ARE,147.71,147.71,0.0
7,Applebead,2022-08-31,Government Bond,AU0000XCLWP8,150.12,150.12,0.0
8,Applebead,2022-08-31,Government Bond,AU0000XCLWV6,161.95,161.95,0.0
9,Applebead,2022-08-31,Government Bond,AU0000XCLWV6,161.95,161.95,0.0
10,Applebead,2022-08-31,Government Bond,AU3TB0000135,117.84,117.84,0.0
11,Applebead,2022-08-31,Equities,AVY,180.52,180.52,0.0
12,Applebead,2022-08-31,Equities,AXP,149.83,149.83,0.0
13,Applebead,2022-08-31,Equities,AXP,149.83,149.83,0.0
14,Applebead,2022-08-31,Equities,AZO,2119.21,2119.21,0.0
15,Applebead,2022-08-31,Equities,AZO,2119.21,2119.21,0.0
16,Applebead,2022-08-31,Equities,AZO,2119.21,2119.21,0.0
17,Applebead,2022-08-31,Equities,BBY,67.45,67.45,0.0
18,Applebead,2022-08-31,Equities,BBY,67.45,67.45,0.0
19,Applebead,2022-08-31,Equities,BBY,67.45,67.45,0.0
20,Applebead,2022-08-31,Government Bond,BE0000331406,164.26,164.26,0.0
21,Applebead,2022-08-31,Government Bond,BE0000331406,164.26,164.26,0.0
22,Applebead,2022-08-31,Equities,BK,40.11,40.11,0.0
23,Applebead,2022-08-31,Equities,BR,167.91,167.91,0.0
24,Applebead,2022-08-31,Equities,BR,167.91,167.91,0.0
25,Applebead,2022-08-31,Equities,CAG,33.11,33.11,0.0
26,Applebead,2022-08-31,Equities,COP,104.17,104.17,0.0
27,Applebead,2022-08-31,Equities,COP,104.17,104.17,0.0
28,Applebead,2022-08-31,Equities,CPB,48.94,48.94,0.0
29,Applebead,2022-08-31,Equities,CPB,48.94,48.94,0.0
30,Applebead,2022-08-31,Equities,CPRT,29.91,29.91,0.0
31,Applebead,2022-08-31,Equities,CPRT,29.91,29.91,0.0
32,Applebead,2022-08-31,Equities,CRL,205.25,205.25,0.0
33,Applebead,2022-08-31,Equities,CRL,205.25,205.25,0.0
34,Applebead,2022-08-31,Equities,CRL,205.25,205.25,0.0
35,Applebead,2022-08-31,Equities,CRL,205.25,205.25,0.0
36,Applebead,2022-08-31,Equities,CSCO,43.3,43.3,0.0
37,Applebead,2022-08-31,Equities,DAL,31.0,31.0,0.0
38,Applebead,2022-08-31,Equities,DAL,31.0,31.0,0.0
39,Applebead,2022-08-31,Equities,DGX,122.83,122.83,0.0
40,Applebead,2022-08-31,Equities,DGX,122.83,122.83,0.0
41,Applebead,2022-08-31,Equities,DRI,119.65,119.65,0.0
42,Applebead,2022-08-31,Equities,EBAY,43.41,43.41,0.0
43,Applebead,2022-08-31,Equities,ENPH,286.44,286.44,0.0
44,Applebead,2022-08-31,Equities,ENPH,286.44,286.44,0.0
45,Applebead,2022-08-31,Government Bond,ES00000127C8,132.84,132.84,0.0
46,Applebead,2022-08-31,Government Bond,ES00000127C8,132.84,132.84,0.0
47,Applebead,2022-08-31,Government Bond,ES00000127G9,109.71,109.71,0.0
48,Applebead,2022-08-31,Government Bond,ES00000127G9,109.71,109.71,0.0
49,Applebead,2022-08-31,Government Bond,ES0000012852,125.07,125.07,0.0
50,Applebead,2022-08-31,Government Bond,ES0000012852,125.07,125.07,0.0
51,Applebead,2022-08-31,Equities,EW,90.1,90.1,0.0
52,Applebead,2022-08-31,Equities,EXR,189.91,189.91,0.0
53,Applebead,2022-08-31,Equities,EXR,189.91,189.91,0.0
54,Applebead,2022-08-31,Equities,FOXA,33.94,33.94,0.0
55,Applebead,2022-08-31,Equities,FOXA,33.94,33.94,0.0
56,Applebead,2022-08-31,Government Bond,FR0014001N38,122.95,122.95,0.0
57,Applebead,2022-08-31,Government Bond,FR0014001N38,122.95,122.95,0.0
58,Applebead,2022-08-31,Government Bond,GB00B421JZ66,311.74,311.74,0.0
59,Applebead,2022-08-31,Government Bond,GB00BNNGP882,213.09,213.09,0.0
60,Applebead,2022-08-31,Government Bond,GB00BNNGP882,213.09,213.09,0.0
61,Applebead,2022-08-31,Government Bond,GB00BNNGP882,213.09,213.09,0.0
62,Applebead,2022-08-31,Government Bond,GB00BYMWG366,220.1,220.1,0.0
63,Applebead,2022-08-31,Government Bond,GB00BYMWG366,220.1,220.1,0.0
64,Applebead,2022-08-31,Equities,GOOG,109.15,109.15,0.0
65,Applebead,2022-08-31,Equities,GOOG,109.15,109.15,0.0
66,Applebead,2022-08-31,Equities,GOOG,109.15,109.15,0.0
67,Applebead,2022-08-31,Equities,GWW,548.91,548.91,0.0
68,Applebead,2022-08-31,Equities,GWW,548.91,548.91,0.0
69,Applebead,2022-08-31,Equities,HAL,29.63,29.63,0.0
70,Applebead,2022-08-31,Equities,HOLX,67.56,67.56,0.0
71,Applebead,2022-08-31,Equities,HOLX,67.56,67.56,0.0
72,Applebead,2022-08-31,Equities,IEX,198.89,198.89,0.0
73,Applebead,2022-08-31,Equities,IEX,198.89,198.89,0.0
74,Applebead,2022-08-31,Equities,IFF,106.55,106.55,0.0
75,Applebead,2022-08-31,Government Bond,IT0003745541,180.04,180.04,0.0
76,Applebead,2022-08-31,Government Bond,IT0003745541,180.04,180.04,0.0
77,Applebead,2022-08-31,Government Bond,IT0003745541,180.04,180.04,0.0
78,Applebead,2022-08-31,Government Bond,IT0003745541,180.04,180.04,0.0
79,Applebead,2022-08-31,Government Bond,JP1103451GC0,100.87,100.87,0.0
80,Applebead,2022-08-31,Government Bond,JP1300521G93,98.11,98.11,0.0
81,Applebead,2022-08-31,Government Bond,JP1300521G93,98.11,98.11,0.0
82,Applebead,2022-08-31,Equities,LEN,76.3,76.3,0.0
83,Applebead,2022-08-31,Equities,LEN,76.3,76.3,0.0
84,Applebead,2022-08-31,Equities,LEN,76.3,76.3,0.0
85,Applebead,2022-08-31,Equities,LEN,76.3,76.3,0.0
86,Applebead,2022-08-31,Equities,LLY,298.04,298.04,0.0
87,Applebead,2022-08-31,Equities,LLY,298.04,298.04,0.0
88,Applebead,2022-08-31,Equities,LLY,298.04,298.04,0.0
89,Applebead,2022-08-31,Equities,LYB,78.72,78.72,0.0
90,Applebead,2022-08-31,Equities,LYB,78.72,78.72,0.0
91,Applebead,2022-08-31,Equities,LYB,78.72,78.72,0.0
92,Applebead,2022-08-31,Equities,LYV,90.36,90.36,0.0
93,Applebead,2022-08-31,Equities,LYV,90.36,90.36,0.0
94,Applebead,2022-08-31,Equities,LYV,90.36,90.36,0.0
95,Applebead,2022-08-31,Equities,MCO,281.74,281.74,0.0
96,Applebead,2022-08-31,Equities,MCO,281.74,281.74,0.0
97,Applebead,2022-08-31,Equities,META,162.93,162.93,0.0
98,Applebead,2022-08-31,Equities,META,162.93,162.93,0.0
99,Applebead,2022-08-31,Equities,META,162.93,162.93,0.0
100,Applebead,2022-08-31,Equities,MHK,110.36,110.36,0.0
101,Applebead,2022-08-31,Equities,MHK,110.36,110.36,0.0
102,Applebead,2022-08-31,Equities,MMC,159.08,159.08,0.0
103,Applebead,2022-08-31,Government Bond,NL0011819040,104.59,104.59,0.0
104,Applebead,2022-08-31,Government Bond,NL0011819040,104.59,104.59,0.0
105,Applebead,2022-08-31,Government Bond,NL0011819040,104.59,104.59,0.0
106,Applebead,2022-08-31,Equities,NWL,17.12,17.12,0.0
107,Applebead,2022-08-31,Equities,ODFL,270.17,270.17,0.0
108,Applebead,2022-08-31,Equities,ODFL,270.17,270.17,0.0
109,Applebead,2022-08-31,Equities,ODFL,270.17,270.17,0.0
110,Applebead,2022-08-31,Equities,PEP,167.75,167.75,0.0
111,Applebead,2022-08-31,Equities,PNR,43.74,43.74,0.0
112,Applebead,2022-08-31,Equities,PTC,114.89,114.89,0.0
113,Applebead,2022-08-31,Equities,PTC,114.89,114.89,0.0
114,Applebead,2022-08-31,Equities,PTC,114.89,114.89,0.0
115,Applebead,2022-08-31,Equities,QRVO,89.78,89.78,0.0
116,Applebead,2022-08-31,Equities,QRVO,89.78,89.78,0.0
